game,name,link,affiliation,gender,race,role,games,status
Fallout 1,Caleb (Fallout),https://fallout.fandom.com/wiki/Caleb_(Fallout),Regulators,Male,Human,Regulators' leader,,
Fallout 1,Chanter of the Children,https://fallout.fandom.com/wiki/Chanter_of_the_Children,Unity,,Human,Chanter,,
Fallout 1,Child (Fallout),https://fallout.fandom.com/wiki/Child_(Fallout),,"Male, Female",Human,,,
Fallout 1,Child with a real attitude,https://fallout.fandom.com/wiki/Child_with_a_real_attitude,Unity,Male,Human,Thug,,
Fallout 1,Children of the Cathedral member,https://fallout.fandom.com/wiki/Children_of_the_Cathedral_member,Unity,,Human,Follower of the Unity,,
Fallout 1,Children of the Cathedral technician,https://fallout.fandom.com/wiki/Children_of_the_Cathedral_technician,Unity,,Human,Technician,,
Fallout 1,Christine (Blades),https://fallout.fandom.com/wiki/Christine_(Blades),Blades,Female,Human,,,
Fallout 1,Christopher Avellone (Fallout),https://fallout.fandom.com/wiki/Christopher_Avellone_(Fallout),,Male,Human,Bounty hunter,,
Fallout 1,Chuck (Fallout),https://fallout.fandom.com/wiki/Chuck_(Fallout),Adytum,Male,Human,Fortune teller,,
Fallout 1,Cindy (Fallout),https://fallout.fandom.com/wiki/Cindy_(Fallout),Rebel faction,Female,Human,Vault dweller,,
Fallout 1,Cook (Fallout),https://fallout.fandom.com/wiki/Cook_(Fallout),Shady Sands,Female,Human,Cook,,
Fallout 1,Cougar (Fallout),https://fallout.fandom.com/wiki/Cougar_(Fallout),Doc Morbid,Male,Human,Bodyguard,,
Fallout 1,Crack assault paladin,https://fallout.fandom.com/wiki/Crack_assault_paladin,Brotherhood of Steel,,Human,Brotherhood attack squad,,
Fallout 1,Crazed raider,https://fallout.fandom.com/wiki/Crazed_raider,Skulz,,Human,Raider,,
Fallout 1,Curtis (Fallout),https://fallout.fandom.com/wiki/Curtis_(Fallout),Shady Sands,Male,Human,Farmer,,
Fallout 1,Dane (Fallout),https://fallout.fandom.com/wiki/Dane_(Fallout),Children of the Cathedral,Male,Human,Cultist,,
Fallout 1,Darrel,https://fallout.fandom.com/wiki/Darrel,Brotherhood of Steel,Male,Human,Guard,,
Fallout 1,Derek (Fallout),https://fallout.fandom.com/wiki/Derek_(Fallout),Brotherhood of Steel,Male,Human,Assistant,,
Fallout 1,Diana (Fallout),https://fallout.fandom.com/wiki/Diana_(Fallout),Khans,Female,Human,Armorer/Ordnance Expert,,
Fallout 1,Dogmeat (Fallout),https://fallout.fandom.com/wiki/Dogmeat_(Fallout),"Vault Dweller, (optional), Chosen One, (optional)",Male,Dog,"Stray dog, Companion, (optional)",,
Fallout 1,Dominic Moore,https://fallout.fandom.com/wiki/Dominic_Moore,Master,Male,"Human, psyker",Pyroknetic-dominant psyker,,
Fallout 1,Dugan,https://fallout.fandom.com/wiki/Dugan,Blades,Male,Human,Nuka-cola addict,,
Fallout 1,Ed (Fallout),https://fallout.fandom.com/wiki/Ed_(Fallout),Vault 13,Male,Human,Vault 13 citizen,,
Fallout 1,Elder (Fallout),https://fallout.fandom.com/wiki/Elder_(Fallout),Brotherhood of Steel,"Male, Female",Human,Leaders,,
Fallout 1,Farli,https://fallout.fandom.com/wiki/Farli,Brotherhood of Steel,Male,Human,Warrior,,
Fallout 1,Flash (Fallout),https://fallout.fandom.com/wiki/Flash_(Fallout),Doc Morbid,Male,Human,"Bodyguard, Citizen",,
Fallout 1,Flip,https://fallout.fandom.com/wiki/Flip,"Master's Army, Sarah",Male,Super mutant,Guard,,
Fallout 1,Follower invader,https://fallout.fandom.com/wiki/Follower_invader,Followers of the Apocalypse,"Male, Female",Human,Cathedral invader,,
Fallout 1,Follower scholar,https://fallout.fandom.com/wiki/Follower_scholar,Followers of the Apocalypse,"Male, Female",Human,Scholar,,
Fallout 1,Francis (Fallout),https://fallout.fandom.com/wiki/Francis_(Fallout),Children of the Cathedral,Female,Human,Sister,,
Fallout 1,Gabriel (Gun Runners),https://fallout.fandom.com/wiki/Gabriel_(Gun_Runners),Gun Runners,Male,Human,Gun Runners' leader,,
Fallout 1,Ganger (character),https://fallout.fandom.com/wiki/Ganger_(character),Set,Male,Ghoul,Gang member,,
Fallout 1,Garl Death-Hand,https://fallout.fandom.com/wiki/Garl_Death-Hand,Khans,Male,Human,Leader of the Khans,,
Fallout 1,Garret,https://fallout.fandom.com/wiki/Garret,"Set, Necropolis",Male,Ghoul,Bodyguard,,
Fallout 1,Gary (Fallout),https://fallout.fandom.com/wiki/Gary_(Fallout),Unity,Male,Super mutant,Guard,,
Fallout 1,Ghoul gang guard,https://fallout.fandom.com/wiki/Ghoul_gang_guard,Set,,Ghoul,"Guards of, Set, 's room",,
Fallout 1,Ghoul leader,https://fallout.fandom.com/wiki/Ghoul_leader,"Underground ghouls, Necropolis",Male,Ghoul,Leader,,
Fallout 1,Ghoul lookout,https://fallout.fandom.com/wiki/Ghoul_lookout,"Underground ghouls, Necropolis",,Ghoul,Lookouts,,
Fallout 1,Ghoul manager,https://fallout.fandom.com/wiki/Ghoul_manager,Set,Male,Ghoul,Hotel manager,,
Fallout 1,Ghoul prisoner (Fallout),https://fallout.fandom.com/wiki/Ghoul_prisoner_(Fallout),Set,Male,Ghoul,Prisoner,,
Fallout 1,Ghoul refugee,https://fallout.fandom.com/wiki/Ghoul_refugee,Set,,Ghoul,,,
Fallout 1,Ghoul sentry,https://fallout.fandom.com/wiki/Ghoul_sentry,Set,,"Ghoul, Glowing one","Guard of the, Hall of the Dead, Vault 12, guard",,
Fallout 1,Ghoul undergrounder,https://fallout.fandom.com/wiki/Ghoul_undergrounder,"Ghoul leader, Underground ghouls, Necropolis",,Ghoul,Undergrounder,,
Fallout 1,Gideon,https://fallout.fandom.com/wiki/Gideon,Master,Male,"Human, psyker","Receiving-telepathic dominant psyker, Minor photo-kinetic psyker",,
Fallout 1,Gizmo,https://fallout.fandom.com/wiki/Gizmo,Junktown,Male,Human,Casino owner,,
Fallout 1,Gizmo's guard,https://fallout.fandom.com/wiki/Gizmo%27s_guard,Gizmo,Male,Human,Guard,,
Fallout 1,Greg (Fallout),https://fallout.fandom.com/wiki/Greg_(Fallout),Blades,Male,Human,Junkie,,
Fallout 1,Gretch,https://fallout.fandom.com/wiki/Gretch,Doc Morbid,Male,Human,Assistant,,
Fallout 1,Gun Runner (character),https://fallout.fandom.com/wiki/Gun_Runner_(character),Gun Runners,"Male, Female",Human,Gun Runner,,
Fallout 1,Gustofer,https://fallout.fandom.com/wiki/Gustofer,Gizmo,Male,Human,Betting master,,
Fallout 1,Gwen (Fallout),https://fallout.fandom.com/wiki/Gwen_(Fallout),Khans,Female,Human,"Garl, 's advisor",,
Fallout 1,Harold,https://fallout.fandom.com/wiki/Harold,"Treeminders, Bob",Male,"FEV, mutant, Numen","Informant, Foreman, [, 1, ], of Gecko, Treeminder deity",,
Fallout 1,Harriet (Fallout),https://fallout.fandom.com/wiki/Harriet_(Fallout),Junktown,Female,Human,Wife,,
Fallout 1,Harry (Fallout),https://fallout.fandom.com/wiki/Harry_(Fallout),Unity,Male,"Super mutant, (cyborg), [, 1, ]",Soldier,,
Fallout 1,Ian (Fallout),https://fallout.fandom.com/wiki/Ian_(Fallout),"Crimson Caravan, (formerly), Shady Sands, Vault Dweller",Male,Human,"Merchant, guard, Companion",,
Fallout 1,Initiate (Lost Hills),https://fallout.fandom.com/wiki/Initiate_(Lost_Hills),Brotherhood of Steel,"Male, Female",Human,Trainees,,
Fallout 1,Ismarc,https://fallout.fandom.com/wiki/Ismarc,,Male,Human,Singer,,
Fallout 1,Izo,https://fallout.fandom.com/wiki/Izo,Gizmo,Male,Human,Bodyguard,,
Fallout 1,Jacob (Lost Hills),https://fallout.fandom.com/wiki/Jacob_(Lost_Hills),Brotherhood of Steel,Male,Human,Leader,,
Fallout 1,Jarvis,https://fallout.fandom.com/wiki/Jarvis,Shady Sands,Male,Human,,,
Fallout 1,Jason Zimmerman,https://fallout.fandom.com/wiki/Jason_Zimmerman,Adytum,Male,Human,"Deceased son, martyr",,
Fallout 1,Jennifer (Fallout),https://fallout.fandom.com/wiki/Jennifer_(Fallout),Brotherhood of Steel,Female,Human,"Guard, Soldier",,
Fallout 1,Jeremiah (Fallout),https://fallout.fandom.com/wiki/Jeremiah_(Fallout),Children of the Cathedral,Male,Human,"Messenger, Cult member",,
Fallout 1,Jerry (Lost Hills),https://fallout.fandom.com/wiki/Jerry_(Lost_Hills),Brotherhood of Steel,Male,Human,Roomie,,
Fallout 1,Jon Zimmerman,https://fallout.fandom.com/wiki/Jon_Zimmerman,Adytum,Male,Human,Mayor,,
Fallout 1,Jonathan (Elder),https://fallout.fandom.com/wiki/Jonathan_(Elder),Brotherhood of Steel,Male,Human,Leader,,
Fallout 1,Jonathan (Initiate),https://fallout.fandom.com/wiki/Jonathan_(Initiate),Brotherhood of Steel,Male,Human,Missing member,,
Fallout 1,Junktown gambler,https://fallout.fandom.com/wiki/Junktown_gambler,,"Male, Female",Human,Gambler,,
Fallout 1,Junktown guard,https://fallout.fandom.com/wiki/Junktown_guard,Junktown,Male,Human,Guard,,
Fallout 1,Junktown peasant,https://fallout.fandom.com/wiki/Junktown_peasant,Junktown,Male,Human,Peasant,,
Fallout 1,Junktown scout,https://fallout.fandom.com/wiki/Junktown_scout,Junktown,Male,Human,Scouts,,
Fallout 1,Junktown scouts,https://fallout.fandom.com/wiki/Junktown_scouts,,,,,,
Fallout 1,Kalnor,https://fallout.fandom.com/wiki/Kalnor,Junktown,Male,Human,Guard,,
Fallout 1,Katja,https://fallout.fandom.com/wiki/Katja,"Vault Dweller, (optional)",Female,Human,"Companion, (optional), Scavenger",,
Fallout 1,Katrina,https://fallout.fandom.com/wiki/Katrina,Shady Sands,Female,Human,Greeter,,
Fallout 1,Kenji,https://fallout.fandom.com/wiki/Kenji,Gizmo,Male,Human,Assassin,,
Fallout 1,Khan raider (Fallout),https://fallout.fandom.com/wiki/Khan_raider_(Fallout),Garl Death-Hand,"Male, Female",Human,Raider,,
Fallout 1,Khans prisoner,https://fallout.fandom.com/wiki/Khans_prisoner,,Female,Human,Prisoner,,
Fallout 1,Killian Darkwater,https://fallout.fandom.com/wiki/Killian_Darkwater,Junktown,Male,Human,"Mayor of Junktown, Store owner",,
Fallout 1,Knight (Fallout),https://fallout.fandom.com/wiki/Knight_(Fallout),Brotherhood of Steel,"Male, Female",Human,Repairmen,,
Fallout 1,Krupper,https://fallout.fandom.com/wiki/Krupper,Master's Army,Male,Super mutant,Prison guard,,
Fallout 1,Kyle (Brotherhood),https://fallout.fandom.com/wiki/Kyle_(Brotherhood),Brotherhood of Steel,Male,Human,Mechanic,,
Fallout 1,Kyle (super mutant),https://fallout.fandom.com/wiki/Kyle_(super_mutant),Master's Army,Male,"Mariposa super mutant, (, Nightkin, )",Guard,,
Fallout 1,Lance (Fallout),https://fallout.fandom.com/wiki/Lance_(Fallout),Shady Sands,Male,Human,Guard,,
Fallout 1,Larry (Lost Hills),https://fallout.fandom.com/wiki/Larry_(Lost_Hills),Brotherhood of Steel,Male,Human,Repairman,,
Fallout 1,Larry (Necropolis),https://fallout.fandom.com/wiki/Larry_(Necropolis),Unity,Male,Super mutant,Soldier,,
Fallout 1,Lars (Fallout),https://fallout.fandom.com/wiki/Lars_(Fallout),Junktown,Male,Human,Chief guard,,
Fallout 1,Lasher,https://fallout.fandom.com/wiki/Lasher,Children of the Cathedral,Male,Human,Second-in-Command,,
Fallout 1,Laura (Fallout),https://fallout.fandom.com/wiki/Laura_(Fallout),"Followers of the Apocalypse, Children of the Cathedral, (undercover)",Female,Human,Followers' spy,,
Fallout 1,Lenore,https://fallout.fandom.com/wiki/Lenore,Junktown,Female,Human,Citizen,,
Fallout 1,Leone,https://fallout.fandom.com/wiki/Leone,Friendly Lending Company,Male,Human,Guard,,
Fallout 1,Lieutenant,https://fallout.fandom.com/wiki/Lieutenant,Unity,Male,"Super mutant, (, Cyborg, )","Commander of the Unity's military, Overseer of, Mariposa Military Base, Right-hand of the, Master",,Deceased
Fallout 1,Lieutenant's guard,https://fallout.fandom.com/wiki/Lieutenant%27s_guard,Lieutenant,,Super mutant,Lieutenant's bodyguards,,
Fallout 1,Lisa (Fallout),https://fallout.fandom.com/wiki/Lisa_(Fallout),Vault 13,Female,Human,Vault dweller,,
Fallout 1,Little person,https://fallout.fandom.com/wiki/Little_person,,,,,,
Fallout 1,Lorraine,https://fallout.fandom.com/wiki/Lorraine,Sammael,Female,Human,Scav,,
Fallout 1,Lorri (Fallout),https://fallout.fandom.com/wiki/Lorri_(Fallout),Brotherhood of Steel,Female,Human,Doctor,,
Fallout 1,Lorri's assistant,https://fallout.fandom.com/wiki/Lorri%27s_assistant,"Brotherhood of Steel, Dr. Lorri",,Human,Assistant,,
Fallout 1,Lucy (Fallout),https://fallout.fandom.com/wiki/Lucy_(Fallout),Master,Female,"Human, psyker","Telekinetic-dominant psyker, Minor photo kinetic psyker",,
Fallout 1,Lyle,https://fallout.fandom.com/wiki/Lyle,Vault 13,Male,Human,Vault inhabitant,,
Fallout 1,MacRae,https://fallout.fandom.com/wiki/MacRae,Blades,Male,Human,"Unarmed combat trainer, Guard",,
Fallout 1,Mad scientist (Fallout),https://fallout.fandom.com/wiki/Mad_scientist_(Fallout),Master,,Human,Scientist,,
Fallout 1,Marcelles,https://fallout.fandom.com/wiki/Marcelles,,Female,Human,"Crash House, 's owner",,
Fallout 1,Mary (Lost Hills),https://fallout.fandom.com/wiki/Mary_(Lost_Hills),Brotherhood of Steel,Female,Human,Leader,,
Fallout 1,Mary (Vault 13),https://fallout.fandom.com/wiki/Mary_(Vault_13),Vault 13,Female,Human,Vault dweller,,
Fallout 1,Master,https://fallout.fandom.com/wiki/Master,"Vault City, (formerly), Unity, Children of the Cathedral",Male (formerly),"Posthuman, cybernetic, FEV, mutant, (, psychic, )","Doctor (formerly), Mutant leader, Primary, Fallout, antagonist, End game boss",,Deceased
Fallout 1,Mathia,https://fallout.fandom.com/wiki/Mathia,Brotherhood of Steel,Female,Human,"John Maxson, 's assistant, Bodyguard",,
Fallout 1,Max Stone,https://fallout.fandom.com/wiki/Max_Stone,Vault 13,Male,Human,Player character,,
Fallout 1,John Maxson,https://fallout.fandom.com/wiki/John_Maxson,Brotherhood of Steel,Male,Human,Leader,,
Fallout 1,Michael (Blades),https://fallout.fandom.com/wiki/Michael_(Blades),Blades,Male,Human,Gang members,,
Fallout 1,Michael (Brotherhood),https://fallout.fandom.com/wiki/Michael_(Brotherhood),Brotherhood of Steel,Male,Human,"Quartermaster, Repairman",,
Fallout 1,Miles (Fallout),https://fallout.fandom.com/wiki/Miles_(Fallout),Adytum,Male,Human,"Chemist, [, 1, ]",,
Fallout 1,Moat guard,https://fallout.fandom.com/wiki/Moat_guard,Gun Runners,Male,Human,Guard,,
Fallout 1,Morbid,https://fallout.fandom.com/wiki/Morbid,"Junktown, Iguana Bob Frazier, Gretch, (assistant)",Male,Human,"Junktown's, doctor, Teacher",,
Fallout 1,Morpheus,https://fallout.fandom.com/wiki/Morpheus,"Rippers, (formerly), Doomsday cult (formerly), Children of the Cathedral",Male,Human,Cult leader,,
Fallout 1,Natalia Dubrovhsky,https://fallout.fandom.com/wiki/Natalia_Dubrovhsky,Vault 13,Female,Human,Player character,,
Fallout 1,Neal,https://fallout.fandom.com/wiki/Neal,,Male,Human,"Skum Pitt, owner",,
Fallout 1,Nicole (Fallout),https://fallout.fandom.com/wiki/Nicole_(Fallout),Followers of the Apocalypse,Female,Human,Leader,,
Fallout 1,Nightkin sentry,https://fallout.fandom.com/wiki/Nightkin_sentry,Unity,,Nightkin,"Morpheus, ' guards",,
Fallout 1,Officer (Vault 13),https://fallout.fandom.com/wiki/Officer_(Vault_13),Vault 13 overseer,Female or male,Human,Vault security officer,,
Fallout 1,Paladin (Fallout),https://fallout.fandom.com/wiki/Paladin_(Fallout),Brotherhood of Steel,"Male, Female",Human,Soldiers,,
Fallout 1,Paul (Fallout),https://fallout.fandom.com/wiki/Paul_(Fallout),Brotherhood of Steel,Male,Human,"Weapons engineer, Repairman",,
Fallout 1,Petrox,https://fallout.fandom.com/wiki/Petrox,Khans,Male,Human,Khans' supplier,,
Fallout 1,Phil (Junktown),https://fallout.fandom.com/wiki/Phil_(Junktown),Junktown,Male,Human,Citizen,,
Fallout 1,Praying Child of the Cathedral,https://fallout.fandom.com/wiki/Praying_Child_of_the_Cathedral,Unity,,Human,Praying children,,
Fallout 1,Praying super mutant,https://fallout.fandom.com/wiki/Praying_super_mutant,Unity,,Super mutant,Praying mutant,,
Fallout 1,Prisoner (Fallout),https://fallout.fandom.com/wiki/Prisoner_(Fallout),Master,"Male, Female",Human,Scientist,,
Fallout 1,Psyker,https://fallout.fandom.com/wiki/Psyker,"The, Master",,,,,
Fallout 1,Rachael (Fallout),https://fallout.fandom.com/wiki/Rachael_(Fallout),Brotherhood of Steel,Female,Human,Leader,,
Fallout 1,Razlo,https://fallout.fandom.com/wiki/Razlo,Shady Sands,Male,Human,Doctor,,
Fallout 1,Razlo's wife,https://fallout.fandom.com/wiki/Razlo%27s_wife,Shady Sands,Female,Human,,,
Fallout 1,Razor (character),https://fallout.fandom.com/wiki/Razor_(character),"Blades, Circle of Thieves, (formerly)",Female,Human,"Leader of the Blades, Thief (formerly)",,
Fallout 1,Regulator (Fallout),https://fallout.fandom.com/wiki/Regulator_(Fallout),"Caleb, (, Regulators","Male, Female",Human,Police officers,,
Fallout 1,Rhombus,https://fallout.fandom.com/wiki/Rhombus,Brotherhood of Steel,Male,Human,Head of the paladins and knights,,
Fallout 1,Roulette dealer (Fallout),https://fallout.fandom.com/wiki/Roulette_dealer_(Fallout),,"Male, Female",Human,Roulette dealer,,
Fallout 1,Sally (Fallout),https://fallout.fandom.com/wiki/Sally_(Fallout),Unity,"Female, [, 1, ]",Super mutant,Guard,,
Fallout 1,Sammael,https://fallout.fandom.com/wiki/Sammael,Scavs,Male,Human,Scavs' leader,,
Fallout 1,Sandy (Fallout),https://fallout.fandom.com/wiki/Sandy_(Fallout),Vault 13,Female,Human,Vault dweller,,
Fallout 1,Sarah (Mariposa),https://fallout.fandom.com/wiki/Sarah_(Mariposa),Flip,Female,Human,Prisoner,,
Fallout 1,Sasha,https://fallout.fandom.com/wiki/Sasha,,,Dog,Tradition,,
Fallout 1,Saul (Fallout),https://fallout.fandom.com/wiki/Saul_(Fallout),Gizmo,Male,Human,Boxer,,
Fallout 1,Scribe (Fallout),https://fallout.fandom.com/wiki/Scribe_(Fallout),Brotherhood of Steel,"Male, Female",Human,Scientists,,
Fallout 1,Set,https://fallout.fandom.com/wiki/Set,Necropolis,Male,Ghoul,Leader of Necropolis,,Deceased
Fallout 1,Set's bodyguard,https://fallout.fandom.com/wiki/Set%27s_bodyguard,Set,Male,Ghoul,Bodyguard,,
Fallout 1,Seth,https://fallout.fandom.com/wiki/Seth,"Shady Sands, New California Rangers",Male,Human,Leader of the guard,,"Missing, presumed dead"
Fallout 1,Shady Sands citizen (Fallout),https://fallout.fandom.com/wiki/Shady_Sands_citizen_(Fallout),Shady Sands,"Male, Female",Human,Citizen,,
Fallout 1,Shady Sands guard,https://fallout.fandom.com/wiki/Shady_Sands_guard,Shady Sands,Male,Human,Guard,,
Fallout 1,Shady Sands peasant,https://fallout.fandom.com/wiki/Shady_Sands_peasant,Shady Sands,"Male, Female",Human,Farmer,,
Fallout 1,Shark,https://fallout.fandom.com/wiki/Shark,Skulz,Male,Human,Gang member,,
Fallout 1,Sherry,https://fallout.fandom.com/wiki/Sherry,"Skulz, Gizmo",Female,Human,Gang member,,
Fallout 1,Shopkeeper,https://fallout.fandom.com/wiki/Shopkeeper,Master,Male,Human,Merchant,,
Fallout 1,Sinthia,https://fallout.fandom.com/wiki/Sinthia,Gizmo,Female,Human,Prostitute,,
Fallout 1,Skulz ganger,https://fallout.fandom.com/wiki/Skulz_ganger,"Skulz, Gizmo","Male, Female",Human,Ganger,,
Fallout 1,Skum Pitt barfly,https://fallout.fandom.com/wiki/Skum_Pitt_barfly,Skum Pitt,Male,Human,Drunk,,
Fallout 1,Slummer,https://fallout.fandom.com/wiki/Slummer,Children of the Cathedral,Male,Human,Guard,,
Fallout 1,Smitty (Adytum),https://fallout.fandom.com/wiki/Smitty_(Adytum),Boneyard,Male,Human,Weapon's shop,,
Fallout 1,Sophia,https://fallout.fandom.com/wiki/Sophia,Brotherhood of Steel,Female,Human,"Historian, Instructor",,
Fallout 1,Stacy (Fallout),https://fallout.fandom.com/wiki/Stacy_(Fallout),Vault 13,Female,Human,Vault dweller,,
Fallout 1,Stupid mutant,https://fallout.fandom.com/wiki/Stupid_mutant,Master's Army,,Super mutant,Guard,,
Fallout 1,Super mutant sergeant,https://fallout.fandom.com/wiki/Super_mutant_sergeant,,,,,,
Fallout 1,Super mutant soldier (Fallout),https://fallout.fandom.com/wiki/Super_mutant_soldier_(Fallout),,,,,,
Fallout 1,Susan,https://fallout.fandom.com/wiki/Susan,Vault 13,Female,Human,Vault dweller,,
Fallout 1,Talius,https://fallout.fandom.com/wiki/Talius,"Vault 13, (formerly), Followers of the Apocalypse",Male,FEV mutant,,,
Fallout 1,Talus,https://fallout.fandom.com/wiki/Talus,Brotherhood of Steel,Male,Human,Training supervisor,,
Fallout 1,Tandi,https://fallout.fandom.com/wiki/Tandi,"Shady Sands, New California Republic",Female,Human,President,,
Fallout 1,Terry (Fallout),https://fallout.fandom.com/wiki/Terry_(Fallout),Unity,Female,Super mutant,Supplies overseer,,
Fallout 1,Theresa (Fallout),https://fallout.fandom.com/wiki/Theresa_(Fallout),Rebel faction,Female,Human,Vault dweller,,
Fallout 1,Thomas (Lost Hills),https://fallout.fandom.com/wiki/Thomas_(Lost_Hills),Brotherhood of Steel,Male,Human,"Initiate combat instructor, Soldier",,
Fallout 1,Thug (Fallout),https://fallout.fandom.com/wiki/Thug_(Fallout),Chris Avellone,"Male, Female",Human,Thug,,
Fallout 1,Tine Taylor,https://fallout.fandom.com/wiki/Tine_Taylor,Adytum,Male,Human,Merchant,,
Fallout 1,Tolya,https://fallout.fandom.com/wiki/Tolya,Khans,Male,Human,"Cook, Thief",,
Fallout 1,Ton Barracus,https://fallout.fandom.com/wiki/Ton_Barracus,"Children of the Cathedral, Dead Dog gang, (formerly)",Male,"FEV, mutant",Cultist,,
Fallout 1,Trish (Fallout),https://fallout.fandom.com/wiki/Trish_(Fallout),Junktown,Female,Human,Waitress,,
Fallout 1,Tycho,https://fallout.fandom.com/wiki/Tycho,"Desert Rangers, Vault Dweller",Male,Human,"Companion, Desert Ranger",,
Fallout 1,Upset vault dweller,https://fallout.fandom.com/wiki/Upset_vault_dweller,Vault 13,"Male, Female",Human,Rebel Vault dweller,,
Fallout 1,Van Hagan,https://fallout.fandom.com/wiki/Van_Hagan,"Children of the Cathedral, Unity",Male,Human,"Messenger, Cult member",,
Fallout 1,Vault 13 citizen,https://fallout.fandom.com/wiki/Vault_13_citizen,Vault 13 overseer,"Male, Female",Human,Citizen,,
Fallout 1,Vault 13 medic,https://fallout.fandom.com/wiki/Vault_13_medic,Vault 13,Male,Human,Doctor,,
Fallout 1,Vault 13 overseer,https://fallout.fandom.com/wiki/Vault_13_overseer,Vault 13,Male,Human,Overseer,,Deceased
Fallout 1,Vault 13 rebels,https://fallout.fandom.com/wiki/Vault_13_rebels,,,,,,
Fallout 1,Vault Dweller,https://fallout.fandom.com/wiki/Vault_Dweller,"Vault 13, Arroyo, Brotherhood of Steel, (optional)","Player-choice (gameplay), Male (canon), [, 2, ], [, 3, ], [, 4, ], [, 5, ], [, 6, ], [, 7, ], [, 8, ], Ambiguous (commentary), [, Non-game 2, ]","Human, Super mutant, (optional), [, 1, ]","Player character, Initiate, (optional)",,
Fallout 1,Victor (Fallout),https://fallout.fandom.com/wiki/Victor_(Fallout),Skulz,Male,Human,Gang member,,
Fallout 1,Vincent (Fallout),https://fallout.fandom.com/wiki/Vincent_(Fallout),Unity,Male,Super mutant,Guard,,
Fallout 1,Vinnie (Fallout),https://fallout.fandom.com/wiki/Vinnie_(Fallout),Skulz,Male,Human,Gang leader,,
Fallout 1,Viola,https://fallout.fandom.com/wiki/Viola,Children of the Cathedral,Female,Human,Preacher,,
Fallout 1,Viscious,https://fallout.fandom.com/wiki/Viscious,Unity,Male,Super mutant,Operations overseer,,
Fallout 1,Vree,https://fallout.fandom.com/wiki/Vree,Brotherhood of Steel,Female,Human,Scientist,,
Fallout 1,Water guard,https://fallout.fandom.com/wiki/Water_guard,Vault 13,Male,Human,Guard,,
Fallout 1,Water thief,https://fallout.fandom.com/wiki/Water_thief,Vault 13,Male,Human,Water thief,,
Fallout 1,Wiggum,https://fallout.fandom.com/wiki/Wiggum,"The, Master",Male,"Human, psyker",Electrokinetic-dominant psyker,,
Fallout 1,Wu,https://fallout.fandom.com/wiki/Wu,Children of the Cathedral,Male,Human,Cathedral's doctor,,
Fallout 1,Zack (Fallout),https://fallout.fandom.com/wiki/Zack_(Fallout),Gun Runners,Male,Human,Merchant,,
Fallout 1,Zark,https://fallout.fandom.com/wiki/Zark,Children of the Cathedral,Male,Human,Member,,
Fallout 1,ZAX 1.2,https://fallout.fandom.com/wiki/ZAX_1.2,"United States Armed Forces, (pre-War)",,"ZAX, supercomputer","Research, Control",,
Fallout 2,Fallout 2 characters,https://fallout.fandom.com/wiki/Fallout_2_characters,,,,,,
